Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Grand Rapids",Weekly,"2022-01-16 00:00:00",Conventional,1.449276432,147358.07,33625.45,23603.84,29929.01,60199.78,,,
"Grand Rapids",Weekly,"2022-01-16 00:00:00",Organic,0.968769575,18574.67,13.22,1391.93,0.00,17169.52,,,
"Great Lakes",Weekly,"2022-01-16 00:00:00",Conventional,1.134768350,4216020.33,1968995.00,1009000.63,249248.59,988776.11,,,
"Great Lakes",Weekly,"2022-01-16 00:00:00",Organic,1.445150607,203627.86,42276.95,45433.93,0.00,115916.98,,,
Harrisburg/Scranton,Weekly,"2022-01-16 00:00:00",Conventional,1.287637233,352523.78,128316.32,81357.09,2125.77,140724.61,,,
Harrisburg/Scranton,Weekly,"2022-01-16 00:00:00",Organic,1.619458951,22059.61,790.54,617.19,0.00,20651.88,,,
Hartford/Springfield,Weekly,"2022-01-16 00:00:00",Conventional,1.489534748,367515.77,62141.35,216826.73,1378.58,87169.12,,,
Hartford/Springfield,Weekly,"2022-01-16 00:00:00",Organic,1.872771965,19507.36,1088.32,4921.01,0.00,13498.04,,,
Houston,Weekly,"2022-01-16 00:00:00",Conventional,1.121514568,917065.59,497776.12,208058.11,10263.86,200967.50,,,
Houston,Weekly,"2022-01-16 00:00:00",Organic,2.095803953,11931.48,9886.48,347.02,0.00,1697.98,,,
Indianapolis,Weekly,"2022-01-16 00:00:00",Conventional,0.984015666,288920.79,170747.60,57105.89,3175.03,57892.27,,,
Indianapolis,Weekly,"2022-01-16 00:00:00",Organic,1.513367246,9855.15,627.54,3528.70,0.00,5698.91,,,
Jacksonville,Weekly,"2022-01-16 00:00:00",Conventional,1.373449879,191134.05,130598.00,8258.01,1164.40,51113.63,,,
Jacksonville,Weekly,"2022-01-16 00:00:00",Organic,1.174854779,20260.05,5804.00,176.46,0.00,14279.59,,,
"Las Vegas",Weekly,"2022-01-16 00:00:00",Conventional,1.217071800,387383.18,126320.93,134759.88,884.63,125417.74,,,
"Las Vegas",Weekly,"2022-01-16 00:00:00",Organic,1.653366890,13138.33,6991.62,1616.48,0.00,4530.23,,,
"Los Angeles",Weekly,"2022-01-16 00:00:00",Conventional,1.316141820,3005836.76,1739555.33,163464.44,324590.52,778226.46,,,
"Los Angeles",Weekly,"2022-01-16 00:00:00",Organic,1.789257252,179178.69,68442.79,45889.12,2.78,64844.00,,,
Louisville,Weekly,"2022-01-16 00:00:00",Conventional,1.002315272,151165.18,89589.79,25283.96,550.27,35741.16,,,
